Version	Task	Concept	att1	att2	att3	att4	att5	att6	att7
8	7	2	1	3	4	2	6	1	2
8	7	3	3	5	2	3	4	1	3
9	1	1	2	2	5	4	2	5	5
9	1	2	4	4	2	5	4	4	1
9	1	3	5	2	3	6	3	2	4
9	2	1	3	4	4	1	5	3	5
9	2	2	1	1	1	3	1	5	3
9	2	3	4	5	6	2	2	2	2
9	3	1	5	3	4	2	6	6	3
9	3	2	4	1	3	3	1	1	5
9	3	3	3	2	5	6	6	4	1
9	4	1	1	2	1	5	2	3	2
9	4	2	5	5	2	4	4	6	1
9	4	3	2	3	6	1	5	5	4
9	5	1	5	1	6	6	4	4	5
9	5	2	1	5	3	2	5	6	3
9	5	3	3	4	4	4	3	2	1
9	6	1	1	1	5	3	1	5	2
9	6	2	4	4	1	1	3	3	4
9	6	3	2	3	2	5	2	1	5
9	7	1	5	4	5	2	6	3	1
9	7	2	3	5	1	6	1	4	2
9	7	3	4	2	3	4	6	2	3
10	1	1	1	4	4	6	4	1	4
10	1	2	2	5	6	3	3	5	4
10	1	3	3	2	2	5	5	6	2
10	2	1	5	1	6	3	2	6	1
10	2	2	2	3	1	1	6	2	5
10	2	3	4	3	5	4	5	3	3
10	3	1	3	3	2	6	3	5	5
10	3	2	5	1	4	1	4	1	3
10	3	3	2	4	3	2	1	4	1
10	4	1	3	5	3	2	2	6	5
10	4	2	1	3	5	4	5	2	2
10	4	3	4	2	4	5	1	3	4
10	5	1	5	4	6	5	6	5	4
10	5	2	4	1	2	4	3	1	1
10	5	3	2	5	1	1	4	4	3
10	6	1	1	3	1	2	4	4	4
10	6	2	4	5	5	1	1	2	2
10	6	3	1	2	3	3	3	6	3
10	7	1	5	1	2	6	6	3	2
10	7	2	3	4	3	3	5	5	1
10	7	3	2	2	6	1	2	6	5
11	1	1	1	4	2	2	5	5	5
11	1	2	5	1	1	6	2	2	2
11	1	3	2	5	4	5	3	1	3
11	2	1	3	1	3	5	6	5	4
11	2	2	3	2	6	3	4	1	2
11	2	3	2	3	5	4	1	4	1
11	3	1	4	3	4	2	5	4	3
11	3	2	1	2	2	1	1	1	1
11	3	3	5	5	5	3	3	3	5
11	4	1	2	5	3	4	4	6	2
11	4	2	1	4	2	6	2	3	4
11	4	3	4	1	1	5	6	2	5
11	5	1	5	2	1	5	5	2	1
11	5	2	3	4	6	2	6	1	3
11	5	3	4	3	4	3	2	5	2
11	6	1	3	2	4	6	1	6	5
11	6	2	1	1	5	1	4	3	4
11	6	3	3	3	6	4	3	4	1
11	7	1	5	4	4	4	2	5	3
11	7	2	4	1	6	1	3	1	3
11	7	3	2	5	1	3	1	3	4
12	1	1	4	3	2	6	4	5	5
12	1	2	5	5	1	5	6	4	4
12	1	3	2	2	5	2	5	6	1
12	2	1	2	1	2	2	4	1	2
12	2	2	5	3	6	4	5	3	5
12	2	3	1	4	3	1	2	2	3
12	3	1	3	5	4	4	1	3	4
12	3	2	4	2	3	6	3	2	1
12	3	3	1	4	5	3	6	4	2
12	4	1	1	1	2	3	5	4	3
12	4	2	2	4	1	5	3	6	1
12	4	3	3	5	5	2	2	2	4
12	5	1	5	3	6	5	1	5	2
12	5	2	5	2	3	1	6	1	5
12	5	3	4	1	4	3	4	6	4
12	6	1	2	4	3	5	4	3	1
12	6	2	1	3	6	6	6	6	2
12	6	3	3	2	1	4	3	1	3
12	7	1	5	5	2	6	2	4	5
12	7	2	4	1	4	1	1	2	1
12	7	3	1	5	6	2	3	5	4
13	1	1	2	3	4	5	2	2	5
13	1	2	4	2	1	2	5	6	2
13	1	3	3	4	5	1	5	4	3
13	2	1	4	2	2	4	1	4	2
13	2	2	5	1	5	3	2	3	4
13	2	3	2	4	3	6	6	1	3
13	3	1	3	3	4	3	4	2	1
13	3	2	3	1	3	4	6	5	5
13	3	3	1	5	2	5	1	5	3
13	4	1	1	5	1	1	4	2	5
13	4	2	4	4	6	6	3	3	2
13	4	3	5	3	5	2	5	1	4
13	5	1	5	5	5	1	3	6	2
13	5	2	3	2	4	5	4	3	5
13	5	3	2	2	2	2	2	1	1
13	6	1	2	5	5	3	6	5	1
13	6	2	4	1	1	6	1	6	3
13	6	3	5	3	3	4	5	4	4
13	7	1	2	4	2	3	1	1	4
13	7	2	3	3	4	1	6	3	2
13	7	3	1	1	6	6	5	2	5
14	1	1	5	4	3	2	4	5	1
14	1	2	4	2	6	4	2	4	3
14	1	3	1	3	4	5	3	6	4
14	2	1	1	1	6	5	5	1	1
14	2	2	4	4	1	3	3	4	5
14	2	3	2	5	4	4	2	5	2
14	3	1	4	5	6	2	1	6	1
14	3	2	5	2	3	6	4	3	3
14	3	3	3	1	2	1	6	2	3
14	4	1	1	3	2	1	2	3	4
14	4	2	3	4	1	4	5	6	2
14	4	3	2	2	5	5	4	4	5
14	5	1	3	3	5	3	1	2	3
14	5	2	2	1	1	2	3	5	4
14	5	3	4	5	3	5	6	1	2
14	6	1	5	2	2	6	3	2	1
14	6	2	1	4	4	4	4	5	5
14	6	3	3	5	3	1	5	4	4
14	7	1	2	2	5	6	2	6	1
14	7	2	1	4	6	3	1	1	5
14	7	3	2	1	1	2	6	3	3
15	1	1	5	2	2	3	1	4	4
15	1	2	3	5	5	6	5	1	1
15	1	3	4	3	4	2	4	2	2
15	2	1	4	3	3	1	3	6	3
15	2	2	1	4	1	4	2	5	5
15	2	3	5	1	4	5	1	3	2
15	3	1	4	3	6	3	6	3	1
15	3	2	3	1	2	2	3	4	5
15	3	3	1	2	5	5	6	2	4
15	4	1	2	4	6	1	5	5	3
15	4	2	5	4	1	6	4	1	2
15	4	3	2	5	3	4	2	4	1
15	5	1	4	2	5	6	5	5	4
15	5	2	3	3	1	3	2	6	3
15	5	3	5	1	6	5	6	6	5
15	6	1	3	2	3	4	3	1	4
15	6	2	1	5	4	2	5	3	2
15	6	3	5	3	2	1	1	2	1
15	7	1	4	4	5	2	4	2	5
15	7	2	5	5	2	1	3	6	2
15	7	3	2	1	6	6	4	4	3
16	1	1	3	3	1	1	2	5	1
16	1	2	4	5	3	5	1	3	3
16	1	3	1	2	4	4	6	1	5
16	2	1	2	1	4	6	6	4	4
16	2	2	3	4	6	5	2	5	2
16	2	3	1	2	3	3	5	3	2
16	3	1	1	1	4	4	4	6	4
16	3	2	2	4	5	2	3	2	2
16	3	3	4	5	2	3	5	6	5
16	4	1	5	3	3	6	1	1	3
16	4	2	1	1	1	3	6	5	1
16	4	3	3	5	6	4	1	3	5
16	5	1	5	3	1	2	2	3	3
16	5	2	4	4	2	5	3	4	4
16	5	3	2	2	4	1	1	6	2
16	6	1	3	3	5	5	4	1	1
16	6	2	1	2	3	2	3	5	3
16	6	3	2	5	2	3	5	2	4
16	7	1	5	1	5	4	4	3	1
16	7	2	4	4	6	1	2	1	5
16	7	3	4	2	1	6	6	4	4
17	1	1	5	4	4	6	5	4	1
17	1	2	1	5	6	4	3	2	3
17	1	3	2	1	3	2	1	6	5
17	2	1	5	2	2	3	2	2	1
17	2	2	3	3	1	5	6	1	2
17	2	3	4	4	3	1	4	5	2
17	3	1	1	5	4	2	4	5	3
17	3	2	2	3	5	6	6	1	5
17	3	3	3	1	2	5	1	2	4
17	4	1	5	4	1	1	3	4	4
17	4	2	3	1	5	3	2	6	3
17	4	3	4	2	6	4	5	3	5
17	5	1	1	3	3	5	2	4	1
17	5	2	2	4	2	4	6	2	2
17	5	3	5	5	6	6	3	1	4
17	6	1	2	5	1	3	5	3	3
17	6	2	4	1	5	1	1	5	1
17	6	3	1	2	3	2	4	6	2
17	7	1	2	3	4	6	5	2	5
17	7	2	1	5	1	5	1	5	1
17	7	3	3	4	5	4	6	6	4
18	1	1	4	1	2	3	4	1	3
18	1	2	3	2	3	1	2	3	5
18	1	3	5	3	4	2	3	4	2
18	2	1	2	1	1	6	4	4	2
18	2	2	5	2	6	2	2	1	4
18	2	3	1	3	5	5	3	3	3
18	3	1	5	2	2	4	1	5	2
18	3	2	4	1	4	2	5	2	5
18	3	3	3	5	2	1	6	6	1
18	4	1	2	3	6	4	1	5	5
18	4	2	4	4	3	5	5	1	4
18	4	3	3	4	4	3	3	2	1
18	5	1	2	3	1	3	4	3	4
18	5	2	4	4	6	1	6	6	3
18	5	3	1	5	5	6	2	4	2
18	6	1	5	2	1	5	3	5	5
18	6	2	3	5	6	3	4	3	1
18	6	3	1	1	2	2	2	6	3
18	7	1	2	5	3	4	6	2	1
18	7	2	5	4	4	1	1	4	3
18	7	3	1	3	5	6	3	6	4
19	1	1	4	3	2	4	6	5	5
19	1	2	2	2	1	5	5	3	1
19	1	3	3	1	4	3	5	1	2
19	2	1	5	5	3	5	4	2	3
19	2	2	1	4	6	6	4	1	4
19	2	3	4	2	5	1	2	4	2
19	3	1	1	1	4	1	2	1	4
19	3	2	3	5	1	2	1	2	5
19	3	3	2	1	3	4	3	6	1
19	4	1	5	4	5	3	1	5	5
19	4	2	4	3	2	4	4	3	3
19	4	3	1	2	6	6	6	4	2
19	5	1	3	2	1	2	5	3	4
19	5	2	3	4	4	6	6	5	3
19	5	3	2	1	6	3	3	2	2
19	6	1	3	2	6	2	2	4	3
19	6	2	4	5	3	5	1	1	1
19	6	3	5	3	2	1	5	6	5
19	7	1	1	3	1	1	4	4	1
19	7	2	4	4	2	2	2	3	4
19	7	3	2	5	5	4	1	1	2
20	1	1	4	1	3	6	6	5	2
20	1	2	5	2	4	3	3	6	5
20	1	3	2	4	1	5	5	2	3
20	2	1	1	3	4	6	2	5	1
20	2	2	5	1	5	1	5	2	4
20	2	3	3	5	5	2	3	3	5
20	3	1	3	5	6	4	4	4	4
20	3	2	2	3	3	5	1	6	2
20	3	3	5	4	2	3	6	1	3
20	4	1	4	1	6	4	5	4	1
20	4	2	3	4	1	6	3	6	2
20	4	3	1	2	4	3	6	4	5
20	5	1	5	1	2	5	4	5	5
20	5	2	1	2	6	1	1	3	4
20	5	3	4	3	5	2	3	2	1
20	6	1	1	1	1	1	6	3	1
20	6	2	4	5	3	3	2	1	3
20	6	3	2	2	4	2	1	1	4
20	7	1	3	2	1	5	4	2	5
20	7	2	1	5	5	6	5	5	3
20	7	3	5	4	3	4	2	6	2
21	1	1	5	1	6	2	6	6	4
21	1	2	4	5	4	4	4	4	3
21	1	3	2	3	2	3	2	3	5
21	2	1	2	4	2	6	1	3	1
21	2	2	4	1	3	5	5	2	4
21	2	3	3	3	5	1	1	1	2
21	3	1	3	4	1	2	6	5	1
21	3	2	1	2	6	3	2	5	2
21	3	3	2	5	4	1	3	1	5
21	4	1	1	5	2	4	5	4	1
21	4	2	5	3	3	6	3	2	3
21	4	3	4	4	5	5	5	6	5
21	5	1	2	1	5	4	4	5	4
21	5	2	3	2	4	1	4	2	2
21	5	3	5	3	3	3	6	4	4
21	6	1	2	4	6	5	2	6	3
21	6	2	5	3	1	6	3	3	1
21	6	3	1	1	4	2	1	4	5
21	7	1	4	5	1	1	2	6	2
21	7	2	1	4	6	6	1	2	4
21	7	3	3	2	2	2	5	1	3
22	1	1	3	3	5	5	1	1	5
22	1	2	2	2	3	3	3	3	1
22	1	3	5	5	2	2	6	5	2
22	2	1	3	1	3	1	4	4	4
22	2	2	4	1	1	4	3	2	3
22	2	3	4	5	4	6	6	1	1
22	3	1	5	3	6	5	4	5	1
22	3	2	1	4	2	3	5	6	2
22	3	3	2	5	5	6	2	2	5
22	4	1	1	2	1	4	3	1	3
22	4	2	4	3	5	3	6	6	4
22	4	3	3	1	3	2	2	3	5
22	5	1	2	2	4	5	1	4	3
22	5	2	1	4	2	1	3	5	1
22	5	3	5	1	6	4	1	3	2
22	6	1	5	5	4	2	4	6	3
22	6	2	3	3	3	6	5	5	2
22	6	3	2	1	6	1	6	1	5
22	7	1	4	4	2	4	2	2	4
22	7	2	1	5	5	5	5	3	3
22	7	3	4	2	5	3	4	4	5
23	1	1	5	2	1	6	5	6	4
23	1	2	3	4	6	2	1	2	1
23	1	3	2	3	2	4	4	1	2
23	2	1	4	3	1	1	6	5	4
23	2	2	5	1	4	5	2	5	3
23	2	3	3	4	3	3	3	3	5
23	3	1	5	4	1	4	5	1	5
23	3	2	2	2	3	1	6	3	1
23	3	3	1	5	2	5	2	4	2
23	4	1	4	2	3	2	1	5	2
23	4	2	3	1	5	6	3	6	4
23	4	3	1	3	6	3	4	2	3
23	5	1	4	5	4	6	2	4	1
23	5	2	2	3	6	5	5	6	2
23	5	3	5	4	5	2	1	3	1
23	6	1	2	4	3	3	4	1	4
23	6	2	3	5	1	1	3	4	5
23	6	3	1	2	4	4	6	2	3
23	7	1	3	1	2	6	4	3	3
23	7	2	2	5	4	2	5	5	4
23	7	3	4	3	6	3	3	1	1
24	1	1	1	4	5	4	1	6	5
24	1	2	3	2	2	1	5	2	2
24	1	3	5	1	1	5	2	4	5
24	2	1	2	3	2	2	1	4	3
24	2	2	5	5	6	3	6	2	1
24	2	3	4	1	1	6	4	5	2
24	3	1	1	5	1	4	6	1	2
24	3	2	1	1	3	1	3	6	5
24	3	3	4	2	4	5	2	3	4
24	4	1	2	4	3	6	2	1	4
24	4	2	1	3	2	2	4	6	1
24	4	3	5	2	5	4	6	3	3
24	5	1	2	1	5	1	5	4	3
24	5	2	3	5	6	5	3	5	2
24	5	3	5	2	4	3	2	2	5
24	6	1	2	2	2	5	3	5	3
24	6	2	3	3	1	6	1	4	4
24	6	3	4	4	5	2	5	1	1
24	7	1	5	5	6	1	4	6	4
24	7	2	3	4	4	5	1	4	1
24	7	3	4	3	3	3	6	2	5
25	1	1	1	3	3	6	2	2	4
25	1	2	4	1	6	4	3	3	2
25	1	3	3	1	4	3	5	6	1
25	2	1	5	4	3	2	6	5	5
25	2	2	1	2	5	1	1	1	3
25	2	3	2	5	1	3	4	3	2
25	3	1	2	1	5	4	2	5	1
25	3	2	4	2	2	6	4	6	5
25	3	3	5	5	2	5	3	2	4
25	4	1	3	3	1	4	5	4	3
25	4	2	2	3	6	2	2	1	2
25	4	3	1	4	4	1	6	3	4
25	5	1	1	1	5	5	3	1	2
25	5	2	3	2	3	6	1	6	3
25	5	3	4	5	2	2	6	2	5
25	6	1	5	4	1	1	2	4	1
25	6	2	3	2	4	3	5	5	4
25	6	3	4	4	6	1	4	3	3
25	7	1	2	1	4	2	6	4	1
25	7	2	1	3	1	4	1	3	5
25	7	3	5	5	2	1	5	1	2
26	1	1	1	2	5	3	4	2	1
26	1	2	4	5	6	5	1	6	4
26	1	3	2	4	2	6	3	4	5
26	2	1	5	1	3	3	1	5	2
26	2	2	3	4	6	4	6	6	3
26	2	3	2	3	1	5	5	2	1
26	3	1	1	2	1	6	2	1	5
26	3	2	5	5	3	4	4	5	4
26	3	3	3	1	4	2	3	3	2
26	4	1	5	2	5	1	3	4	2
26	4	2	2	4	4	6	4	2	1
26	4	3	4	3	5	5	6	3	3
26	5	1	3	3	6	4	5	1	5
26	5	2	1	1	2	1	2	2	3
26	5	3	4	5	1	3	1	5	4
26	6	1	1	4	3	5	4	4	5
26	6	2	3	5	5	3	2	6	2
26	6	3	4	2	3	2	5	5	1
26	7	1	1	3	3	6	1	3	4
26	7	2	2	3	4	4	3	6	3
26	7	3	5	1	2	2	6	1	1
27	1	1	5	5	6	6	5	5	5
27	1	2	3	4	5	5	6	2	4
27	1	3	4	4	1	3	1	1	3
27	2	1	5	5	4	1	1	6	3
27	2	2	4	1	2	3	2	4	2
27	2	3	2	2	6	2	4	3	4
27	3	1	3	2	6	4	3	5	1
27	3	2	2	1	2	5	6	6	5
27	3	3	1	3	4	2	4	1	2
27	4	1	3	2	3	1	2	2	4
27	4	2	1	1	1	6	5	3	2
27	4	3	5	3	5	4	3	4	4
27	5	1	2	4	1	2	1	2	3
27	5	2	4	5	4	3	3	1	5
27	5	3	1	2	6	1	5	5	1
27	6	1	3	5	2	6	6	3	1
27	6	2	4	1	5	5	2	6	3
27	6	3	1	4	3	4	4	4	2
27	7	1	2	3	4	1	6	4	5
27	7	2	4	2	2	2	3	3	4
27	7	3	5	1	3	5	2	1	1
28	1	1	5	3	6	6	1	2	3
28	1	2	2	4	5	3	2	5	5
28	1	3	3	2	1	4	4	6	1
28	2	1	2	5	3	4	5	4	2
28	2	2	3	4	5	2	4	1	5
28	2	3	1	3	2	3	3	5	4
28	3	1	5	4	4	5	5	3	2
28	3	2	4	5	6	1	1	2	5
28	3	3	2	1	1	3	6	4	3
28	4	1	3	3	3	1	4	3	1
28	4	2	1	5	1	6	6	6	3
28	4	3	4	2	2	4	1	5	2
28	5	1	4	5	6	2	2	6	1
28	5	2	5	1	4	5	3	2	4
28	5	3	5	3	5	3	5	4	3
28	6	1	1	4	6	2	3	2	2
28	6	2	2	2	5	1	1	6	1
28	6	3	3	1	4	6	5	1	4
28	7	1	3	4	5	6	6	5	3
28	7	2	5	2	3	5	4	3	5
28	7	3	2	1	2	4	1	1	4
29	1	1	1	3	4	4	5	3	5
29	1	2	3	5	2	5	2	1	4
29	1	3	4	5	1	6	4	5	2
29	2	1	4	1	1	6	6	2	5
29	2	2	1	3	3	2	2	6	1
29	2	3	2	2	6	3	3	4	2
29	3	1	5	2	1	2	2	6	4
29	3	2	5	4	4	1	1	1	3
29	3	3	1	1	6	3	4	2	1
29	4	1	2	3	2	5	6	5	3
29	4	2	4	5	3	1	5	3	3
29	4	3	3	4	5	4	2	4	2
29	5	1	2	1	3	1	3	5	5
29	5	2	1	5	5	2	6	4	5
29	5	3	4	2	4	6	3	6	1
29	6	1	3	3	1	5	5	6	2
29	6	2	5	4	2	3	4	2	4
29	6	3	1	1	6	4	1	3	5
29	7	1	2	4	6	6	4	3	3
29	7	2	3	5	3	3	1	4	1
29	7	3	4	3	4	4	2	1	2
30	1	1	5	2	5	2	5	1	4
30	1	2	5	3	1	1	6	5	2
30	1	3	1	4	2	5	3	6	5
30	2	1	4	5	5	1	3	1	4
30	2	2	3	1	2	6	1	4	1
30	2	3	2	2	3	4	6	2	3
30	3	1	4	2	4	1	4	2	2
30	3	2	1	1	6	2	5	5	3
30	3	3	3	5	1	3	2	3	5
30	4	1	2	4	4	5	2	3	4
30	4	2	1	5	1	3	3	1	3
30	4	3	5	3	2	4	5	4	1
30	5	1	4	3	5	6	1	2	2
30	5	2	2	2	6	5	6	6	5
30	5	3	3	1	2	2	4	5	4
30	6	1	3	4	3	2	3	4	3
30	6	2	1	5	5	4	5	2	1
30	6	3	5	3	4	1	2	5	1
30	7	1	2	2	6	3	6	4	2
30	7	2	4	4	6	5	1	1	4
30	7	3	5	1	3	6	4	6	5
31	1	1	5	5	5	2	6	3	2
31	1	2	2	1	1	5	3	1	1
31	1	3	4	4	2	4	5	6	3
31	2	1	1	3	4	1	1	5	4
31	2	2	3	2	1	3	1	2	5
31	2	3	5	4	5	6	2	3	1
31	3	1	3	5	6	4	6	4	4
31	3	2	4	2	2	6	2	5	3
31	3	3	2	3	3	5	4	1	5
31	4	1	5	5	4	2	4	6	3
31	4	2	4	3	1	3	3	3	1
31	4	3	2	1	3	1	5	2	2
31	5	1	3	1	5	4	4	6	4
31	5	2	1	4	3	3	5	1	4
31	5	3	1	2	2	6	6	3	2
31	6	1	5	2	6	5	3	4	5
31	6	2	4	3	1	2	1	2	5
31	6	3	2	5	4	4	2	5	1
31	7	1	4	1	5	2	4	4	3
31	7	2	1	3	1	1	6	6	4
31	7	3	3	4	3	1	3	2	2
32	1	1	3	5	2	1	4	1	3
32	1	2	1	4	4	3	5	2	2
32	1	3	5	1	6	5	1	3	1
32	2	1	4	4	2	5	6	4	1
32	2	2	2	5	6	6	5	5	5
32	2	3	1	2	5	3	2	5	3
32	3	1	3	3	4	6	2	6	4
32	3	2	5	4	1	1	2	3	2
32	3	3	2	2	2	4	1	1	5
32	4	1	1	5	5	3	1	6	2
32	4	2	5	1	1	2	6	1	1
32	4	3	4	3	3	6	3	4	3
32	5	1	2	4	3	2	3	6	2
32	5	2	1	1	6	4	2	2	5
32	5	3	3	2	5	5	5	5	4
32	6	1	5	1	3	3	1	4	4
32	6	2	3	3	6	5	2	1	3
32	6	3	2	5	4	2	4	3	1
32	7	1	4	2	1	4	5	2	3
32	7	2	2	1	4	1	3	5	5
32	7	3	3	3	2	3	6	3	4
33	1	1	1	2	5	6	4	1	5
33	1	2	4	4	6	5	6	4	2
33	1	3	5	5	1	4	2	2	4
33	2	1	4	4	4	4	1	6	1
33	2	2	1	2	2	1	3	3	1
33	2	3	3	5	3	5	4	5	3
33	3	1	2	1	3	2	1	3	2
33	3	2	5	2	6	1	3	1	3
33	3	3	5	3	5	6	5	4	5
33	4	1	2	1	2	3	5	6	1
33	4	2	3	4	4	6	6	1	3
33	4	3	4	3	1	2	4	5	2
33	5	1	4	1	4	2	2	3	5
33	5	2	1	5	5	5	3	2	4
33	5	3	2	3	6	3	4	6	2
33	6	1	5	3	2	6	4	4	5
33	6	2	1	4	1	4	1	5	4
33	6	3	3	5	3	1	6	2	1
33	7	1	3	1	4	6	3	2	3
33	7	2	5	2	3	4	6	1	4
33	7	3	1	2	1	5	5	4	1
34	1	1	4	4	2	3	5	3	3
34	1	2	2	5	5	1	1	5	5
34	1	3	1	1	6	2	2	1	2
